"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1969,99,"WEBurger",2.027,0.362,2.01,1.358,2.778
1970,99,"WEBurger",2.213,0.323,2.198,1.625,2.877
1971,99,"WEBurger",2.439,0.287,2.429,1.902,3.033
1972,99,"WEBurger",2.243,0.273,2.234,1.731,2.798
1973,99,"WEBurger",2.231,0.267,2.228,1.718,2.773
1974,99,"WEBurger",2.139,0.271,2.134,1.617,2.685
1975,99,"WEBurger",1.969,0.259,1.965,1.48,2.494
1976,99,"WEBurger",1.898,0.248,1.895,1.433,2.403
1977,99,"WEBurger",1.533,0.236,1.526,1.089,2.016
1978,99,"WEBurger",1.388,0.221,1.381,0.969,1.844
1979,99,"WEBurger",1.196,0.208,1.19,0.808,1.632
1980,99,"WEBurger",1.419,0.228,1.412,0.992,1.875
1981,99,"WEBurger",1.601,0.225,1.597,1.17,2.058
1982,99,"WEBurger",1.479,0.233,1.471,1.04,1.955
1983,99,"WEBurger",1.693,0.252,1.686,1.221,2.206
1984,99,"WEBurger",2.008,0.275,2.002,1.492,2.564
1985,99,"WEBurger",2.113,0.325,2.099,1.517,2.786
1971,102,"WHRehnquist",3.638,0.356,3.638,2.948,4.341
1972,102,"WHRehnquist",4.046,0.382,4.04,3.31,4.805
1973,102,"WHRehnquist",4.308,0.407,4.3,3.532,5.128
1974,102,"WHRehnquist",4.395,0.441,4.384,3.56,5.295
1975,102,"WHRehnquist",4.511,0.454,4.496,3.652,5.427
1976,102,"WHRehnquist",4.484,0.475,4.473,3.598,5.451
1977,102,"WHRehnquist",4.468,0.488,4.458,3.536,5.449
1978,102,"WHRehnquist",4.486,0.482,4.474,3.58,5.472
1979,102,"WHRehnquist",4.503,0.466,4.49,3.636,5.46
1980,102,"WHRehnquist",4.336,0.478,4.324,3.44,5.293
1981,102,"WHRehnquist",4.171,0.475,4.161,3.27,5.125
1982,102,"WHRehnquist",4.082,0.459,4.069,3.222,5.009
1983,102,"WHRehnquist",3.976,0.441,3.965,3.152,4.882
1984,102,"WHRehnquist",3.746,0.422,3.735,2.949,4.589
1985,102,"WHRehnquist",3.526,0.402,3.515,2.766,4.347
1986,102,"WHRehnquist",3.268,0.375,3.257,2.571,4.033
1987,102,"WHRehnquist",2.83,0.381,2.819,2.123,3.627
1988,102,"WHRehnquist",2.714,0.347,2.703,2.066,3.435
1989,102,"WHRehnquist",2.579,0.331,2.568,1.967,3.247
1990,102,"WHRehnquist",2.362,0.318,2.352,1.767,3.016
1991,102,"WHRehnquist",2.114,0.311,2.1,1.535,2.749
1992,102,"WHRehnquist",2.055,0.306,2.049,1.466,2.679
1993,102,"WHRehnquist",1.873,0.299,1.865,1.305,2.478
1994,102,"WHRehnquist",1.878,0.288,1.87,1.335,2.457
1995,102,"WHRehnquist",1.846,0.292,1.838,1.295,2.433
1996,102,"WHRehnquist",1.713,0.29,1.704,1.164,2.306
1997,102,"WHRehnquist",1.662,0.288,1.658,1.123,2.24
1998,102,"WHRehnquist",1.856,0.283,1.85,1.324,2.426
1999,102,"WHRehnquist",1.72,0.284,1.712,1.183,2.279
2000,102,"WHRehnquist",1.658,0.27,1.65,1.148,2.208
2001,102,"WHRehnquist",1.407,0.27,1.397,0.911,1.966
2002,102,"WHRehnquist",1.237,0.278,1.231,0.708,1.808
2003,102,"WHRehnquist",1.367,0.286,1.355,0.836,1.953
2004,102,"WHRehnquist",1.438,0.338,1.425,0.799,2.132
1956,92,"WJBrennan",-0.669,0.203,-0.666,-1.077,-0.29
1957,92,"WJBrennan",-0.769,0.179,-0.766,-1.127,-0.43
1958,92,"WJBrennan",-0.825,0.189,-0.823,-1.199,-0.46
1959,92,"WJBrennan",-0.916,0.192,-0.912,-1.3,-0.545
1960,92,"WJBrennan",-0.893,0.193,-0.892,-1.283,-0.529
1961,92,"WJBrennan",-0.838,0.205,-0.831,-1.261,-0.455
1962,92,"WJBrennan",-1.193,0.2,-1.191,-1.595,-0.806
1963,92,"WJBrennan",-1.119,0.202,-1.112,-1.543,-0.743
1964,92,"WJBrennan",-0.961,0.22,-0.957,-1.404,-0.539
1965,92,"WJBrennan",-1.087,0.217,-1.083,-1.527,-0.677
1966,92,"WJBrennan",-1.178,0.199,-1.172,-1.579,-0.796
1967,92,"WJBrennan",-1.308,0.202,-1.303,-1.714,-0.938
1968,92,"WJBrennan",-1.127,0.221,-1.12,-1.577,-0.713
1969,92,"WJBrennan",-1.005,0.217,-1.001,-1.444,-0.588
1970,92,"WJBrennan",-1.063,0.213,-1.057,-1.493,-0.662
1971,92,"WJBrennan",-1.174,0.206,-1.168,-1.585,-0.783
1972,92,"WJBrennan",-1.399,0.212,-1.395,-1.828,-0.999
1973,92,"WJBrennan",-1.713,0.238,-1.704,-2.192,-1.268
1974,92,"WJBrennan",-1.961,0.275,-1.956,-2.51,-1.438
1975,92,"WJBrennan",-2.53,0.291,-2.524,-3.106,-1.987
1976,92,"WJBrennan",-2.793,0.316,-2.788,-3.431,-2.2
1977,92,"WJBrennan",-2.886,0.334,-2.878,-3.559,-2.252
1978,92,"WJBrennan",-2.807,0.338,-2.796,-3.492,-2.174
1979,92,"WJBrennan",-2.762,0.331,-2.753,-3.435,-2.135
1980,92,"WJBrennan",-2.625,0.34,-2.619,-3.317,-1.988
1981,92,"WJBrennan",-2.595,0.335,-2.587,-3.265,-1.957
1982,92,"WJBrennan",-2.456,0.35,-2.445,-3.17,-1.808
1983,92,"WJBrennan",-2.822,0.347,-2.811,-3.531,-2.169
1984,92,"WJBrennan",-3.045,0.37,-3.035,-3.8,-2.351
1985,92,"WJBrennan",-3.15,0.388,-3.139,-3.94,-2.429
1986,92,"WJBrennan",-3.424,0.395,-3.413,-4.233,-2.679
1987,92,"WJBrennan",-3.501,0.422,-3.49,-4.347,-2.706
1988,92,"WJBrennan",-3.601,0.457,-3.583,-4.553,-2.754
1989,92,"WJBrennan",-3.659,0.499,-3.633,-4.693,-2.751
1938,81,"WODouglas",-2.792,0.486,-2.781,-3.773,-1.874
1939,81,"WODouglas",-3.005,0.435,-2.996,-3.885,-2.189
1940,81,"WODouglas",-3.133,0.395,-3.123,-3.936,-2.398
1941,81,"WODouglas",-3.07,0.368,-3.059,-3.815,-2.379
1942,81,"WODouglas",-2.78,0.35,-2.768,-3.493,-2.121
1943,81,"WODouglas",-2.45,0.323,-2.44,-3.107,-1.843
1944,81,"WODouglas",-1.982,0.302,-1.971,-2.606,-1.423
1945,81,"WODouglas",-1.742,0.294,-1.731,-2.337,-1.186
1946,81,"WODouglas",-1.435,0.265,-1.426,-1.975,-0.942
1947,81,"WODouglas",-1.526,0.267,-1.518,-2.076,-1.018
1948,81,"WODouglas",-1.722,0.27,-1.712,-2.273,-1.223
1949,81,"WODouglas",-1.601,0.325,-1.589,-2.288,-1.003
1950,81,"WODouglas",-1.443,0.342,-1.424,-2.162,-0.841
1951,81,"WODouglas",-1.63,0.369,-1.606,-2.42,-0.988
1952,81,"WODouglas",-2.257,0.386,-2.238,-3.065,-1.558
1953,81,"WODouglas",-2.95,0.423,-2.932,-3.828,-2.167
1954,81,"WODouglas",-3.619,0.447,-3.607,-4.531,-2.786
1955,81,"WODouglas",-4.161,0.482,-4.15,-5.13,-3.251
1956,81,"WODouglas",-4.636,0.51,-4.626,-5.659,-3.669
1957,81,"WODouglas",-5.024,0.55,-5.016,-6.144,-4.004
1958,81,"WODouglas",-5.367,0.584,-5.355,-6.557,-4.284
1959,81,"WODouglas",-5.637,0.625,-5.616,-6.896,-4.46
1960,81,"WODouglas",-5.882,0.665,-5.871,-7.224,-4.63
1961,81,"WODouglas",-6.124,0.702,-6.103,-7.545,-4.782
1962,81,"WODouglas",-6.328,0.739,-6.307,-7.834,-4.913
1963,81,"WODouglas",-6.529,0.779,-6.51,-8.069,-5.015
1964,81,"WODouglas",-6.751,0.804,-6.725,-8.348,-5.204
1965,81,"WODouglas",-6.961,0.824,-6.935,-8.624,-5.394
1966,81,"WODouglas",-7.124,0.847,-7.099,-8.824,-5.53
1967,81,"WODouglas",-7.269,0.871,-7.236,-9.037,-5.636
1968,81,"WODouglas",-7.38,0.893,-7.345,-9.185,-5.718
1969,81,"WODouglas",-7.455,0.922,-7.424,-9.303,-5.729
1970,81,"WODouglas",-7.53,0.949,-7.498,-9.452,-5.756
1971,81,"WODouglas",-7.602,0.975,-7.562,-9.612,-5.8
1972,81,"WODouglas",-7.641,1,-7.599,-9.677,-5.796
1973,81,"WODouglas",-7.687,1.027,-7.651,-9.77,-5.768
1974,81,"WODouglas",-7.746,1.059,-7.708,-9.88,-5.772
1975,81,"WODouglas",-7.748,1.1,-7.721,-9.99,-5.68
